Rk,2018-19 Salary,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG,WS,OBPM,DBPM,BPM,VORP,All-NBA
1,5455236,Alex Abrines,SG,24,OKC,75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,2.2,-0.5,-1.7,-2.2,-0.1,0
2,24157304,Steven Adams,C,24,OKC,76,76,32.7,5.9,9.4,0.629,0,0,0,5.9,9.3,0.631,0.629,2.1,3.8,0.559,5.1,4,9,1.2,1.2,1,1.7,2.8,13.9,9.7,2.2,1.1,3.3,3.3,0
3,685341,Cole Aldrich,C,29,MIN,21,0,2.3,0.2,0.7,0.333,0,0,0,0.2,0.7,0.333,0.333,0.1,0.3,0.333,0.1,0.6,0.7,0.1,0.1,0,0,0.5,0.6,0,-7,0.1,-6.9,-0.1,0
4,22347015,LaMarcus Aldridge,C,32,SAS,75,75,33.5,9.2,18,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,4.5,5.3,0.837,3.3,5.2,8.5,2,0.6,1.2,1.5,2.1,23.1,10.9,3,0.3,3.3,3.3,5
5,6957105,Al-Farouq Aminu,PF,27,POR,69,67,30,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.432,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2,9.3,4.2,-0.8,1.9,1.1,1.6,0
6,8641000,Kyle Anderson,SF,24,SAS,74,67,26.7,3.1,5.9,0.527,0.3,0.8,0.333,2.9,5.1,0.556,0.549,1.4,2,0.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9,6.2,-0.3,4.3,4.1,3,0
7,20421546,Ryan Anderson,PF,29,HOU,66,50,26.1,3.1,7.3,0.431,2,5.1,0.386,1.2,2.1,0.539,0.568,1.1,1.4,0.774,1.4,3.6,5,0.9,0.4,0.3,0.6,1.9,9.3,4.8,1,-0.8,0.2,1,0
8,1378242,Ike Anigbogu,C,19,IND,11,0,2.7,0.4,0.8,0.444,0,0,0,0.4,0.8,0.444,0.444,0.5,0.5,0.833,0.5,0.4,0.8,0,0.1,0.3,0.2,0.1,1.2,0.1,-4.1,-1.2,-5.4,0,0
9,25534253,Carmelo Anthony,PF,33,OKC,78,78,32.1,6.1,15,0.404,2.2,6.1,0.357,3.9,8.9,0.437,0.476,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,3.7,-1.9,-1.9,-3.8,-1.1,3
10,1349383,Ryan Arcidiacono,PG,23,CHI,24,0,12.7,0.7,1.7,0.415,0.4,1.3,0.29,0.3,0.4,0.8,0.524,0.2,0.3,0.833,0,1,1,1.5,0.5,0,0.5,0.8,2,0.3,-3.3,-0.7,-4.1,-0.2,0
11,15000000,Trevor Ariza,SF,32,HOU,67,67,33.9,4,9.7,0.412,2.5,6.9,0.368,1.5,2.8,0.519,0.542,1.1,1.3,0.854,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2,11.7,5.3,0.8,0.7,1.5,2,0
12,7464912,Darrell Arthur,PF,29,DEN,19,1,7.4,1.2,2.5,0.468,0.4,1.2,0.348,0.7,1.3,0.583,0.553,0.1,0.2,0.667,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,2.8,0,-3.5,-1,-4.5,-0.1,0
13,11286516,Omer Asik,C,31,TOT,18,0,10.1,0.5,1.2,0.409,0,0,0,0.5,1.2,0.409,0.409,0.2,0.7,0.308,0.5,2.1,2.6,0.2,0.1,0.2,0.5,1.1,1.2,-0.1,-8.1,0,-8.1,-0.3,0
14,7250000,D.J. Augustin,PG,30,ORL,75,36,23.5,3.3,7.2,0.452,1.5,3.6,0.419,1.7,3.6,0.485,0.557,2.2,2.5,0.868,0.4,1.7,2.1,3.8,0.7,0,1.6,1.3,10.2,4.1,1.5,-2.5,-0.9,0.5,0
15,1378242,Dwayne Bacon,SG,22,CHO,53,6,13.5,1.4,3.6,0.375,0.2,0.8,0.256,1.2,2.8,0.409,0.404,0.4,0.5,0.8,0.1,2.3,2.3,0.7,0.3,0,0.4,0.9,3.3,-0.1,-5.4,-0.3,-5.7,-0.7,0
16,4544400,Ron Baker,SG,24,NYK,29,1,13.3,0.7,2,0.339,0.4,1.1,0.333,0.3,0.9,0.346,0.432,0.7,0.9,0.769,0.2,0.9,1,1.6,0.9,0.2,0.6,1.1,2.4,0.5,-1.9,0.9,-1,0.1,0
17,1544951,Wade Baldwin,PG,21,POR,7,0,11.4,2,3,0.667,0.6,0.7,0.8,1.4,2.3,0.625,0.762,0.9,1.4,0.6,0.1,1,1.1,0.7,0.3,0.1,0.6,1.7,5.4,0.3,1.1,-1.1,0,0,0
18,3710850,J.J. Barea,PG,33,DAL,69,10,23.2,4.4,10,0.439,1.7,4.5,0.367,2.7,5.5,0.499,0.522,1.2,1.5,0.784,0.2,2.7,2.9,6.3,0.5,0,2.1,1.2,11.6,3.3,2.4,-2.3,0.1,0.8,0
19,24107258,Harrison Barnes,PF,25,DAL,77,77,34.2,7,15.7,0.445,1.5,4.3,0.357,5.4,11.4,0.478,0.494,3.4,4.1,0.827,1,5.1,6.1,2,0.6,0.2,1.5,1.2,18.9,3.8,-0.7,-1.4,-2.1,-0.1,0
20,11830358,Will Barton,SG,27,DEN,81,40,33.1,5.7,12.7,0.452,1.9,5.2,0.37,3.8,7.5,0.51,0.528,2.2,2.8,0.805,0.9,4.2,5,4.1,1,0.6,1.8,2.1,15.7,6.2,1.6,-0.6,1,2,0
21,24000000,Nicolas Batum,SG,29,CHO,64,64,31,4.2,10.2,0.415,1.4,4.3,0.336,2.8,5.9,0.473,0.486,1.7,2,0.831,0.9,3.9,4.8,5.5,1,0.4,2,1.1,11.6,3.5,0.9,0.5,1.4,1.7,0
22,8575916,Jerryd Bayless,SG,29,PHI,39,11,23.7,2.8,6.7,0.416,1.4,3.7,0.37,1.4,3,0.474,0.519,0.9,1.1,0.795,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9,1.1,-1.8,-1,-2.7,-0.2,0
23,5193600,Aron Baynes,C,31,BOS,81,67,18.3,2.6,5.5,0.471,0,0.3,0.143,2.6,5.2,0.487,0.474,0.7,1,0.756,1.6,3.8,5.4,1.1,0.3,0.6,1,2.5,6,3,-3.8,2.1,-1.7,0.1,0
24,18089887,Kent Bazemore,SG,28,ATL,65,65,27.5,4.4,10.4,0.42,1.7,4.2,0.394,2.7,6.2,0.438,0.5,2.5,3.1,0.796,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9,2.2,-0.6,1.1,0.4,1.1,0
25,25434263,Bradley Beal,SG,24,WAS,82,82,36.3,8.3,18.1,0.46,2.4,6.5,0.375,5.9,11.6,0.507,0.527,3.6,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2,22.6,6.9,2.7,-1,1.7,2.7,0
26,3500000,Michael Beasley,PF,29,NYK,74,30,22.3,5.5,10.9,0.507,0.5,1.2,0.395,5.1,9.7,0.52,0.528,1.7,2.1,0.78,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2,13.2,2.4,-1,-0.4,-1.5,0.2,0
27,6153846,Marco Belinelli,SG,31,TOT,80,2,24.3,4.2,9.6,0.441,1.9,4.9,0.377,2.4,4.6,0.509,0.539,1.9,2,0.908,0.3,1.6,1.9,1.9,0.8,0.2,1.2,1.1,12.1,3.7,0.8,-2.1,-1.3,0.3,0
28,1378252,Jordan Bell,C,23,GSW,57,13,14.2,2,3.2,0.627,0,0.1,0,2,3.2,0.641,0.627,0.5,0.8,0.682,1.1,2.6,3.6,1.8,0.6,1,0.9,1.6,4.6,2.9,0,3.7,3.7,1.2,0
29,7000000,Davis Bertans,PF,25,SAS,77,10,14.1,2.1,4.8,0.44,1.2,3.3,0.373,0.9,1.5,0.588,0.568,0.5,0.6,0.816,0.2,1.8,2,1,0.3,0.4,0.5,1.2,5.9,3.1,1.2,-0.3,1,0.8,0
30,5027028,Patrick Beverley,SG,29,LAC,11,11,30.4,4.4,10.8,0.403,2.2,5.5,0.4,2.2,5.4,0.407,0.504,1.3,1.5,0.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2,0.4,0.4,0.2,0.6,0.2,0
31,1378242,Khem Birch,C,25,ORL,42,0,13.8,1.6,3,0.54,0,0,0,1.6,3,0.54,0.54,1,1.5,0.689,1.7,2.6,4.3,0.8,0.4,0.5,0.5,1.3,4.2,1.8,-1.1,1.4,0.3,0.3,0
32,1349383,Jabari Bird,SG,23,BOS,13,1,8.8,1.2,2,0.577,0.2,0.5,0.429,0.9,1.5,0.632,0.635,0.5,1,0.462,0.5,1,1.5,0.6,0.2,0.1,0.6,0.5,3,0.2,-2.3,0.1,-2.1,0,0
33,17000000,Bismack Biyombo,C,25,ORL,82,25,18.2,2.2,4.3,0.52,0,0,0,2.2,4.3,0.521,0.52,1.2,1.9,0.65,1.8,4,5.7,0.8,0.3,1.2,1,1.9,5.7,2.9,-3.7,2.1,-1.6,0.2,0
34,6500000,Nemanja Bjelica,PF,29,MIN,67,21,20.5,2.6,5.5,0.461,1.1,2.7,0.415,1.4,2.8,0.505,0.563,0.5,0.7,0.8,0.8,3.3,4.1,1.3,0.7,0.2,0.8,2.1,6.8,2.8,0.6,-0.1,0.5,0.9,0
35,1349383,Antonio Blakeney,SG,21,CHI,19,0,16.5,2.8,7.5,0.371,0.8,2.7,0.288,2,4.8,0.418,0.423,1.6,2.1,0.769,0.2,1.5,1.7,1.1,0.4,0.1,0.6,1,7.9,0,-3.2,-3.6,-6.8,-0.4,0
36,15000000,Eric Bledsoe,PG,28,TOT,74,74,31.4,6.3,13.4,0.473,1.7,4.9,0.347,4.6,8.5,0.545,0.536,3.4,4.3,0.795,0.7,3.1,3.8,5,2,0.6,2.9,2.5,17.7,5.6,2.4,-0.3,2.1,2.4,0
37,9000000,Bogdan Bogdanovic,SG,25,SAC,78,53,27.9,4.4,9.9,0.446,1.7,4.2,0.392,2.8,5.7,0.485,0.529,1.3,1.5,0.84,0.4,2.5,2.9,3.3,0.9,0.2,1.6,2.2,11.8,2.9,0.5,-1.5,-1,0.6,0
38,10500000,Bojan Bogdanovic,SF,28,IND,80,80,30.8,5.1,10.7,0.474,1.9,4.8,0.402,3.1,5.8,0.534,0.565,2.2,2.6,0.868,0.4,3,3.4,1.5,0.7,0.1,1.3,1.6,14.3,5.4,1.1,-1.9,-0.7,0.8,0
39,12000000,Avery Bradley,SG,27,TOT,46,46,31.2,5.6,13.6,0.414,1.6,4.4,0.369,4,9.2,0.436,0.474,1.4,1.8,0.768,0.5,2,2.5,2,1.1,0.2,2.2,2,14.3,-0.2,-2.8,-1.4,-4.2,-0.8,0
40,1679520,Tony Bradley,C,20,UTA,9,0,3.2,0.3,1.2,0.273,0,0.1,0,0.3,1.1,0.3,0.273,0.2,0.2,1,0.4,0.8,1.2,0.1,0,0,0,0.1,0.9,0,-6.6,-3,-9.6,-0.1,0
41,1544951,Malcolm Brogdon,PG,25,MIL,48,20,29.9,5.1,10.5,0.485,1.3,3.4,0.385,3.8,7.1,0.532,0.547,1.6,1.8,0.882,0.5,2.8,3.3,3.2,0.9,0.3,1.4,2.7,13,2.7,0.6,-1.9,-1.3,0.2,0
42,1378242,Dillon Brooks,SF,22,MEM,82,74,28.7,4.1,9.4,0.44,1.1,3.2,0.356,3,6.2,0.484,0.501,1.5,2,0.747,0.6,2.5,3.1,1.6,0.9,0.2,1.5,2.8,11,1.2,-1.8,-1.3,-3.1,-0.7,0
43,1656092,MarShon Brooks,SG,29,MEM,7,1,27.6,7.3,14.6,0.5,2.7,4.6,0.594,4.6,10,0.457,0.593,2.9,3.3,0.87,1.1,1.9,3,3.6,1.6,0.4,2.3,0.9,20.1,0.7,5.7,-1.7,4.1,0.3,0
44,1621415,Lorenzo Brown,PG,27,TOR,14,0,9.9,1,2.4,0.412,0.1,0.9,0.167,0.9,1.6,0.545,0.441,0.1,0.1,1,0.1,1,1.1,0.9,0.4,0,0.2,0.5,2.3,0.2,-2.8,-0.2,-3,0,0
45,1378242,Sterling Brown,SG,22,MIL,54,4,14.4,1.5,3.8,0.4,0.6,1.7,0.352,0.9,2.1,0.439,0.478,0.4,0.4,0.875,0.5,2.1,2.6,0.5,0.6,0.2,0.5,1.5,4,0.7,-3.1,-1,-4,-0.4,0
46,1378242,Thomas Bryant,C,20,LAL,15,0,4.8,0.5,1.4,0.381,0.1,0.7,0.1,0.5,0.7,0.636,0.405,0.3,0.6,0.556,0.2,0.9,1.1,0.4,0.1,0.1,0.1,0.4,1.5,0.1,-3.8,-0.4,-4.2,0,0
47,2500000,Reggie Bullock,SF,26,DET,62,52,27.9,4.3,8.8,0.489,2,4.5,0.445,2.3,4.3,0.536,0.603,0.6,0.8,0.796,0.4,2,2.5,1.5,0.8,0.2,0.8,1.1,11.3,4.2,1.3,-0.7,0.7,1.2,0
48,1795015,Trey Burke,PG,25,NYK,36,9,21.8,5.4,10.7,0.503,1.1,2.9,0.362,4.3,7.8,0.556,0.552,1,1.6,0.649,0.4,1.6,2,4.7,0.7,0.1,1.2,1.2,12.8,2.4,4.2,-3.2,1,0.6,0
49,11536515,Alec Burks,SG,26,UTA,64,1,16.5,2.7,6.5,0.411,0.7,2.2,0.331,1.9,4.3,0.452,0.467,1.7,1.9,0.863,0.3,2.7,3,1,0.6,0.1,0.9,1.2,7.7,1.9,-2.5,-0.3,-2.8,-0.2,0
50,20445779,Jimmy Butler,SG,28,MIN,59,59,36.7,7.4,15.6,0.474,1.2,3.4,0.35,6.2,12.2,0.509,0.512,6.2,7.2,0.854,1.3,4,5.3,4.9,2,0.4,1.8,1.3,22.2,8.9,4.9,0.1,5,3.8,2
51,2393887,Jose Calderon,PG,36,CLE,57,32,16,1.6,3.2,0.503,0.8,1.7,0.464,0.8,1.5,0.545,0.624,0.4,0.5,0.8,0.2,1.2,1.5,2.1,0.5,0,0.7,1.4,4.5,1.8,0.1,-2,-1.9,0,0
52,12000000,Kentavious Caldwell-Pope,SG,24,LAL,74,74,33.2,4.6,10.8,0.426,2.1,5.6,0.383,2.4,5.2,0.473,0.526,2.1,2.6,0.789,0.8,4.4,5.2,2.2,1.4,0.2,1.3,2,13.4,5.3,0.6,0.4,1,1.9,0
53,1512601,Isaiah Canaan,PG-SG,26,TOT,20,1,21.1,2.6,6.9,0.38,1.1,3.3,0.333,1.5,3.6,0.423,0.46,2.3,2.6,0.902,0.3,2,2.3,3.8,0.8,0.1,1.5,1.8,8.6,0.6,0.1,-2.5,-2.4,0,0
54,15293104,Clint Capela,C,23,HOU,74,74,27.5,6,9.1,0.652,0,0,0,6,9.1,0.653,0.652,1.9,3.5,0.56,3.3,7.6,10.8,0.9,0.8,1.9,1.4,2.5,13.9,10.2,0.1,2.9,3,2.6,0
55,15400000,DeMarre Carroll,SF,31,BRK,73,73,29.9,4.5,10.8,0.414,2,5.4,0.371,2.5,5.4,0.457,0.506,2.6,3.4,0.764,1.4,5.1,6.6,2,0.8,0.4,1.4,2.3,13.5,4.1,0.4,-0.3,0.2,1.2,0
56,2393887,Vince Carter,SF,41,SAC,58,5,17.7,2,4.9,0.403,1,2.8,0.345,1,2,0.483,0.504,0.5,0.6,0.757,0.3,2.2,2.6,1.2,0.7,0.4,0.6,1.7,5.4,1.2,-1.5,0.4,-1.1,0.2,0
57,1757429,Michael Carter-Williams,PG,26,CHO,52,2,16.1,1.5,4.4,0.332,0.3,1.1,0.237,1.2,3.3,0.365,0.362,1.4,1.7,0.82,0.7,1.9,2.7,2.2,0.8,0.4,1,1.9,4.6,0.9,-2.6,2,-0.6,0.3,0
58,2176260,Omri Casspi,SF,29,GSW,53,7,14,2.3,3.9,0.58,0.2,0.4,0.455,2.1,3.5,0.595,0.604,0.9,1.3,0.725,0.6,3.2,3.8,1,0.3,0.4,0.7,1.3,5.7,2.2,-1.5,0,-1.4,0.1,0
59,13585000,Tyson Chandler,C,35,PHO,46,46,25,2.6,4.1,0.647,0,0,0,2.6,4.1,0.647,0.647,1.3,2,0.624,2.9,6.2,9.1,1.2,0.3,0.6,1.3,2.3,6.5,2.7,-1.3,1,-0.3,0.5,1
60,12800562,Wilson Chandler,SF,30,DEN,74,71,31.7,3.8,8.5,0.445,1.2,3.3,0.358,2.6,5.2,0.501,0.515,1.2,1.5,0.772,1.4,4,5.4,2.1,0.6,0.5,1.2,2.1,10,3.3,-0.5,-0.4,-0.9,0.6,0
61,1757429,Ian Clark,SG,26,NOP,74,2,19.7,3,6.7,0.448,0.8,2.6,0.318,2.2,4.1,0.533,0.511,0.6,0.8,0.763,0.1,1.6,1.7,1.5,0.4,0.1,0.8,1.6,7.4,1.1,-2,-2,-3.9,-0.7,0
62,12500000,Jordan Clarkson,SG,25,TOT,81,2,23.3,5.3,11.8,0.451,1.4,3.9,0.352,3.9,7.9,0.5,0.509,1.9,2.3,0.8,0.7,2,2.7,2.7,0.7,0.1,1.6,1.3,13.9,3,0.8,-2.7,-1.9,0.1,0
63,10000000,Darren Collison,PG,30,IND,69,64,29.2,4.6,9.2,0.495,1.4,3,0.468,3.2,6.3,0.508,0.571,1.8,2.1,0.882,0.5,2,2.6,5.3,1.3,0.2,1.2,1.8,12.4,7.6,3.1,-1,2.2,2.1,0
64,30521116,Mike Conley,PG,30,MEM,12,12,31.1,5.3,14,0.381,2,6.4,0.312,3.3,7.6,0.44,0.452,4.4,5.5,0.803,0,2.3,2.3,4.1,1,0.3,1.5,2,17.1,0.6,1.2,-3.5,-2.3,0,0
65,1641000,Pat Connaughton,SG,25,POR,82,5,18.1,2,4.8,0.423,0.9,2.6,0.352,1.1,2.2,0.506,0.518,0.5,0.5,0.841,0.4,1.5,2,1.1,0.3,0.3,0.5,1.5,5.4,2.5,-0.9,-0.4,-1.3,0.3,0
66,1544951,Quinn Cook,PG,24,GSW,33,18,22.4,3.7,7.6,0.484,1.4,3.2,0.442,2.3,4.5,0.514,0.575,0.7,0.8,0.88,0.3,2.2,2.5,2.7,0.4,0,1,1.8,9.5,1.6,0.6,-2.8,-2.2,0,0
67,5337000,DeMarcus Cousins,C,27,NOP,48,48,36.2,8.5,18,0.47,2.2,6.1,0.354,6.3,11.9,0.53,0.53,6.1,8.2,0.746,2.2,10.7,12.9,5.4,1.6,1.6,5,3.8,25.2,4.7,1.9,3.6,5.5,3.3,0
68,10464092,Robert Covington,SF,27,PHI,80,80,31.7,4.3,10.5,0.413,2.5,6.9,0.369,1.8,3.6,0.497,0.534,1.5,1.7,0.853,0.7,4.7,5.4,2,1.7,0.9,1.6,3,12.6,6.1,0.4,2.1,2.5,2.9,0
69,18500000,Allen Crabbe,SG,25,BRK,75,68,29.3,4.5,11,0.407,2.7,7.1,0.378,1.8,3.9,0.461,0.529,1.5,1.8,0.852,0.4,3.9,4.3,1.6,0.6,0.5,1,2.2,13.2,3.2,0.4,-1.2,-0.8,0.7,0
70,2000000,Torrey Craig,SF,27,DEN,39,5,16.1,1.6,3.5,0.453,0.4,1.5,0.293,1.2,2,0.57,0.515,0.6,0.9,0.629,1,2.2,3.3,0.6,0.3,0.4,0.5,1.6,4.2,0.9,-1.7,-0.8,-2.5,-0.1,0
71,2393887,Jamal Crawford,SG,37,MIN,80,0,20.7,3.9,9.3,0.415,1.3,3.9,0.331,2.6,5.4,0.477,0.485,1.3,1.4,0.903,0.3,1,1.2,2.3,0.5,0.1,1.2,1.1,10.3,1.3,0,-4,-3.9,-0.8,0
72,7305825,Jae Crowder,SF,27,TOT,80,47,26.1,3.4,8.4,0.404,1.4,4.3,0.323,2,4.1,0.488,0.486,1.5,1.9,0.818,0.7,2.7,3.4,1.2,0.8,0.3,0.9,2.3,9.7,2.6,-0.8,-0.9,-1.7,0.1,0
73,2500000,Dante Cunningham,SF,30,TOT,73,25,21.4,2.2,5,0.451,0.8,2.3,0.345,1.5,2.7,0.541,0.53,0.4,0.7,0.596,1.1,3,4.1,0.7,0.5,0.4,0.5,1.5,5.7,2.4,-1.4,0.1,-1.4,0.2,0
74,3258539,Troy Daniels,SG,26,PHO,79,15,20.5,2.9,7.3,0.403,2.3,5.8,0.4,0.6,1.5,0.419,0.563,0.7,0.8,0.875,0.2,1.5,1.6,0.6,0.3,0.1,0.7,1.7,8.9,1.4,0.7,-3.6,-2.9,-0.4,0
75,1544951,Deyonta Davis,C,21,MEM,62,6,15.2,2.6,4.3,0.608,0,0,0,2.6,4.3,0.608,0.608,0.6,0.9,0.667,1.2,2.8,4,0.6,0.2,0.6,0.5,2,5.8,2.7,-1.3,0.4,-0.9,0.3,0
76,4449000,Ed Davis,C,28,POR,78,0,18.9,2.2,3.7,0.582,0,0,0,2.2,3.7,0.584,0.582,0.9,1.4,0.667,2.3,5,7.4,0.5,0.4,0.7,0.8,2.4,5.3,5,-1.8,1.8,0,0.7,0
77,7200000,Dewayne Dedmon,C,28,ATL,62,46,24.9,4,7.7,0.524,0.8,2.3,0.355,3.2,5.4,0.595,0.577,1.1,1.4,0.779,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,10,3.7,-1,1.6,0.5,1,0
